Sample_code;Station;Latitude;Longitude;Depth;d13C_raw;d13C_corr;d15N;C_N;StandardLength;TrophicLevel;Anisakis_abdominalcavity;Anisakis_Liver;Anisakis_gonads;Anisakis_stomach;NParasitesViscera;Anisakis_Muscle_Right;Anisakis_Muscle_Left;Aniskis_Muscle_total;NParasitesTotal
TRACTRA_S0754_A0809;S0754;49.6547785;-0.1474217;37.3;-17.48070316;-17.48070316;13.28439294;3.361704857;170;3.511093688;0;0;0;0;0;0;0;0;0
TRACTRA_S0754_A0810;S0754;49.6547785;-0.1474217;37.3;-17.78334513;-17.78334513;13.07882412;3.489125859;176;3.45063227;0;0;0;0;0;0;0;0;0
TRACTRA_S0754_A0811;S0754;49.6547785;-0.1474217;37.3;-18.28047178;-18.12027726;12.87224761;3.515348002;165;3.389874472;4;0;0;0;4;1;0;1;5
TRACTRA_S0754_A0812;S0754;49.6547785;-0.1474217;37.3;-20.27989332;-18.492208;13.65522298;5.159278103;193;3.620161346;4;0;0;0;4;0;0;0;4
TRACTRA_S0754_A0813;S0754;49.6547785;-0.1474217;37.3;-18.35389967;-18.35389967;12.72814789;3.262758686;165;3.347492203;1;0;0;0;1;0;0;0;1
TRACTRA_S0754_A0814;S0754;49.6547785;-0.1474217;37.3;-18.87880984;-18.22558141;13.21587;4.013362047;166;3.490939882;1;0;0;2;3;0;0;0;3
TRACTRA_S0613_A0725;S0613;49.6962144;-3.7446409;77.61;-20.02823743;-19.77660999;13.31184525;3.607704481;108;3.386206548;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0726;S0613;49.6962144;-3.7446409;77.61;-19.51899808;-19.51899808;13.58432266;3.286796067;109;3.466346962;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0727;S0613;49.6962144;-3.7446409;77.61;-20.25818465;-19.92813931;13.27363809;3.686914482;112;3.374969147;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0728;S0613;49.6962144;-3.7446409;77.61;-19.89105861;-19.61530935;13.69693325;3.632069961;110;3.499467723;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0729;S0613;49.6962144;-3.7446409;77.61;-20.56708371;-20.05444437;13.52500101;3.871352865;105;3.448899418;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0730;S0613;49.6962144;-3.7446409;77.61;-19.84072681;-19.65364002;13.56220272;3.542511911;102;3.459841098;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0731;S0613;49.6962144;-3.7446409;77.61;-19.40353102;-19.40353102;13.7894348;3.4531337;112;3.526674063;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0732;S0613;49.6962144;-3.7446409;77.61;-19.72032526;-19.72032526;13.78440755;3.440747909;108;3.525195458;0;0;0;1;1;0;0;0;1
TRACTRA_S0613_A0733;S0613;49.6962144;-3.7446409;77.61;-20.51675191;-20.25700129;13.69190599;3.615909722;108;3.497989118;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0734;S0613;49.6962144;-3.7446409;77.61;-19.85158269;-19.85158269;13.74821128;3.427824163;105;3.514549498;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0735;S0613;49.6962144;-3.7446409;77.61;-19.52985396;-18.77319749;12.19277752;4.117834812;155;3.057068981;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0736;S0613;49.6962144;-3.7446409;77.61;-18.71566314;-18.30038536;12.72566692;3.773007861;151;3.213801156;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0737;S0613;49.6962144;-3.7446409;77.61;-18.55578567;-18.55578567;12.52055477;3.488579888;148;3.153474054;1;0;0;0;1;0;0;0;1
TRACTRA_S0613_A0738;S0613;49.6962144;-3.7446409;77.61;-18.64559339;-18.23789283;12.46525493;3.765354093;159;3.137209395;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0739;S0613;49.6962144;-3.7446409;77.61;-18.41367237;-18.41367237;12.2078593;3.420834314;152;3.061504797;0;0;0;1;1;0;0;0;1
TRACTRA_S0613_A0740;S0613;49.6962144;-3.7446409;77.61;-19.79532951;-18.68335824;12.39487331;4.476738651;152;3.116508919;2;0;0;0;2;0;0;0;2
TRACTRA_S0613_A0741;S0613;49.6962144;-3.7446409;77.61;-19.33543506;-18.69166914;12.3576716;4.003803955;168;3.105567239;1;0;0;0;1;0;0;0;1
TRACTRA_S0613_A0742;S0613;49.6962144;-3.7446409;77.61;-18.99002077;-18.43223945;12.39386786;3.916950835;155;3.116213198;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0743;S0613;49.6962144;-3.7446409;77.61;-18.75711286;-18.24630612;12.60501272;3.869501751;152;3.178314625;0;0;0;0;0;0;0;0;0
TRACTRA_S0613_A0744;S0613;49.6962144;-3.7446409;77.61;-18.72454522;-18.36228847;12.90363187;3.719451262;154;3.266143788;0;0;0;1;1;0;0;0;1
TRACTRA_S0639_A0745;S0639;49.8793196;-3.3251101;73.12;-18.6902161;-18.22204182;12.52076814;3.826438667;161;3.191653695;0;0;0;0;0;0;0;0;0
TRACTRA_S0639_A0746;S0639;49.8793196;-3.3251101;73.12;-19.314296;-19.05048806;13.17690571;3.620008022;140;3.384635333;0;0;0;0;0;0;0;0;0
TRACTRA_S0639_A0747;S0639;49.8793196;-3.3251101;73.12;-17.51895714;-17.51895714;12.92408206;3.193663511;151;3.310275436;1;0;0;0;1;0;0;0;1
TRACTRA_S0639_A0748;S0639;49.8793196;-3.3251101;73.12;-18.54923123;-18.54923123;12.58497732;3.228276352;157;3.210538748;6;0;0;1;7;0;0;0;7
TRACTRA_S0639_A0749;S0639;49.8793196;-3.3251101;73.12;-19.71753247;-18.8812651;12.99631739;4.198249861;152;3.33152112;0;0;0;0;0;0;0;0;0
TRACTRA_S0639_A0750;S0639;49.8793196;-3.3251101;73.12;-17.97247492;-17.97247492;12.93612128;3.493877982;164;3.313816383;3;0;0;0;3;0;0;0;3
TRACTRA_S0639_A0751;S0639;49.8793196;-3.3251101;73.12;-18.22683924;-18.22683924;13.03042851;3.308824647;156;3.341553805;0;1;0;0;1;0;0;0;1
TRACTRA_S0639_A0752;S0639;49.8793196;-3.3251101;73.12;-18.65472341;-18.39365742;12.7986735;3.617238364;160;3.273390566;0;0;0;0;0;0;0;0;0
TRACTRA_S0639_A0753;S0639;49.8793196;-3.3251101;73.12;-18.20120563;-18.00843545;13.09162789;3.548252699;147;3.359553621;1;0;0;0;1;0;0;0;1
TRACTRA_S0639_A0754;S0639;49.8793196;-3.3251101;73.12;-18.62711798;-18.62711798;12.45154262;3.427913827;152;3.171293247;0;0;0;0;0;0;0;0;0
TRACTRA_S0670_A0765;S0670;49.9406453;-2.5046981;66.38;-18.39954403;-18.16590933;13.53933859;3.589530001;219;3.44755523;45;1;0;4;50;0;4;4;54
TRACTRA_S0670_A0766;S0670;49.9406453;-2.5046981;66.38;-22.61073263;-18.6255476;12.78760162;7.378974781;231;3.226456121;80;1;0;2;83;5;9;14;97
TRACTRA_S0670_A0767;S0670;49.9406453;-2.5046981;66.38;-18.96116815;-18.96116815;12.2484873;3.306833193;288;3.067893087;64;0;0;0;64;8;18;26;90
TRACTRA_S0670_A0768;S0670;49.9406453;-2.5046981;66.38;-19.73216097;-19.37320368;12.70497102;3.716118472;229;3.202153002;8;0;0;0;8;0;1;1;9
TRACTRA_S0670_A0769;S0670;49.9406453;-2.5046981;66.38;-19.16557551;-19.16557551;12.74729401;3.415841427;239;3.214600941;81;3;36;0;120;6;9;15;135
TRACTRA_S0670_A0770;S0670;49.9406453;-2.5046981;66.38;-18.85003405;-18.85003405;13.00526273;3.264809579;243;3.290474094;192;1;6;0;199;18;19;37;236
TRACTRA_S0670_A0771;S0670;49.9406453;-2.5046981;66.38;-18.87285623;-18.87285623;11.61767317;3.362037589;241;2.882359518;28;2;17;3;50;1;2;3;53
TRACTRA_S0670_A0772;S0670;49.9406453;-2.5046981;66.38;-20.42774137;-18.87583805;12.42181004;4.921114462;224;3.118870361;3;16;3;1;23;0;0;0;23
TRACTRA_S0670_A0773;S0670;49.9406453;-2.5046981;66.38;-18.57716014;-18.24889867;14.27092176;3.685112599;230;3.662726749;19;1;5;2;27;0;0;0;27
TRACTRA_S0670_A0774;S0670;49.9406453;-2.5046981;66.38;-18.91850059;-18.38588965;14.00892228;3.891526197;234;3.585668078;2;0;0;6;8;0;0;0;8
TRACTRA_S0705_A0775;S0705;49.9998717;-0.7750398;59.36;-19.22709617;-19.0603341;12.51350986;3.521981887;251;3.145733742;98;8;0;0;106;11;3;14;120
TRACTRA_S0705_A0776;S0705;49.9998717;-0.7750398;59.36;-20.77205862;-19.64910728;14.18929884;4.487829645;215;3.638612855;0;0;0;0;0;0;0;0;0
TRACTRA_S0705_A0777;S0705;49.9998717;-0.7750398;59.36;-19.9693132;-18.92818389;13.0183627;4.405181126;215;3.294219873;5;0;0;1;6;0;0;0;6
TRACTRA_S0705_A0778;S0705;49.9998717;-0.7750398;59.36;-18.89369387;-18.89369387;13.11711635;3.426883767;236;3.323265064;111;9;2;2;124;29;28;57;181
TRACTRA_S0705_A0779;S0705;49.9998717;-0.7750398;59.36;-18.92842328;-18.22356212;13.5907308;4.065516322;229;3.462563431;44;2;1;1;48;2;12;14;62
TRACTRA_S0705_A0780;S0705;49.9998717;-0.7750398;59.36;-18.87583303;-18.71659415;12.63241731;3.51438271;261;3.180706523;96;1;13;3;113;9;7;16;129
TRACTRA_S0705_A0781;S0705;49.9998717;-0.7750398;59.36;-19.76589811;-18.66433058;15.14962771;4.466229823;207;3.921062522;0;1;0;1;2;0;0;0;2
TRACTRA_S0705_A0782;S0705;49.9998717;-0.7750398;59.36;-18.77561389;-18.16356616;14.4432368;3.971765386;254;3.71330049;20;3;13;0;36;1;1;2;38
TRACTRA_S0705_A0783;S0705;49.9998717;-0.7750398;59.36;-19.35112977;-18.1144013;14.06535293;4.602756025;228;3.602158177;32;0;0;0;32;4;7;11;43
TRACTRA_S0705_A0784;S0705;49.9998717;-0.7750398;59.36;-18.20109028;-17.73148198;14.78585151;3.827887172;251;3.814069521;0;0;0;6;6;0;0;0;6
TRACTRA_S0601_A0715;S0601;50.0395506;-4.3793424;74.88;-18.23504384;-18.23504384;12.2973445;3.424281959;155;3.161278164;4;0;0;0;4;0;0;0;4
TRACTRA_S0601_A0716;S0601;50.0395506;-4.3793424;74.88;-18.88442269;-18.88442269;12.35666615;3.350603714;152;3.178725708;1;0;0;2;3;0;0;0;3
TRACTRA_S0601_A0717;S0601;50.0395506;-4.3793424;74.88;-18.29820531;-18.06396027;12.98105165;3.590146502;154;3.362368502;0;0;0;1;1;0;0;0;1
TRACTRA_S0601_A0718;S0601;50.0395506;-4.3793424;74.88;-19.62558306;-18.95671633;13.34603061;4.029158314;156;3.469715256;0;0;0;0;0;0;0;0;0
TRACTRA_S0601_A0719;S0601;50.0395506;-4.3793424;74.88;-20.07659542;-18.94064042;12.474304;4.500964647;159;3.213325075;0;0;0;0;0;0;0;0;0
TRACTRA_S0601_A0720;S0601;50.0395506;-4.3793424;74.88;-18.89823926;-18.55339871;13.00216613;3.701859148;150;3.368578645;3;0;0;2;5;0;0;0;5
TRACTRA_S0601_A0721;S0601;50.0395506;-4.3793424;74.88;-17.76626731;-17.76626731;12.53262019;3.313925804;145;3.230476898;0;0;0;0;0;0;0;0;0
TRACTRA_S0601_A0722;S0601;50.0395506;-4.3793424;74.88;-18.21530588;-18.21530588;12.60300181;3.423564038;152;3.251177374;0;0;0;0;0;0;0;0;0
TRACTRA_S0601_A0723;S0601;50.0395506;-4.3793424;74.88;-18.81533984;-18.22521349;12.76487953;3.949622567;160;3.298788469;0;0;0;1;1;0;0;0;1
TRACTRA_S0601_A0724;S0601;50.0395506;-4.3793424;74.88;-18.39196061;-18.19326953;12.75482502;3.554233413;147;3.295831258;1;0;0;0;1;0;0;0;1
TRACTRA_S0718_A0453;S0718;50.0998065;-1.1453948;55.61;-18.66460368;-18.66460368;12.90165426;3.445225076;231;3.267606025;36;1;0;0;37;2;9;11;48
TRACTRA_S0718_A0785;S0718;50.0998065;-1.1453948;55.61;-18.85995673;-18.50810575;13.29144678;3.70894039;206;3.382250883;1;0;0;0;1;0;0;0;1
TRACTRA_S0718_A0786;S0718;50.0998065;-1.1453948;55.61;-19.93855287;-18.51682147;12.26561804;4.789627677;213;3.080536549;13;0;0;0;13;4;4;8;21
TRACTRA_S0718_A0787;S0718;50.0998065;-1.1453948;55.61;-19.29556272;-18.58424925;13.6320461;4.072033803;217;3.482427155;1;0;0;0;1;0;0;0;1
TRACTRA_S0718_A0788;S0718;50.0998065;-1.1453948;55.61;-18.65654164;-17.87326585;13.75296894;4.144723017;215;3.517992695;0;0;0;0;0;0;0;0;0
TRACTRA_S0718_A0789;S0718;50.0998065;-1.1453948;55.61;-18.65654164;-17.87326585;13.75296894;4.144723017;212;3.517992695;0;0;0;0;0;0;0;0;0
TRACTRA_S0718_A0790;S0718;50.0998065;-1.1453948;55.61;-20.30767685;-18.92634633;14.50772898;4.748818703;216;3.739980943;0;0;0;0;0;0;0;0;0
TRACTRA_S0718_A0791;S0718;50.0998065;-1.1453948;55.61;-19.14771467;-18.81564248;13.41640037;3.688961812;206;3.419001941;5;0;0;0;5;0;0;0;5
TRACTRA_S0718_A0792;S0718;50.0998065;-1.1453948;55.61;-19.39677413;-18.69591383;13.03448575;4.061475047;205;3.306674109;9;0;0;1;10;0;0;0;10
TRACTRA_S0718_A0793;S0718;50.0998065;-1.1453948;55.61;-21.2999456;-18.95534509;13.954507;5.721818697;206;3.577268596;3;0;0;0;3;0;1;1;4
TRACTRA_S0718_A0794;S0718;50.0998065;-1.1453948;55.61;-20.11815351;-19.18867431;13.2057931;4.29240324;206;3.357058625;2;1;0;0;3;0;0;0;3
TRACTRA_S0648_A0755;S0648;50.1032755;-2.8780274;65.63;-18.14599476;-17.96730786;12.90100688;3.534027181;150;3.272095952;1;0;0;0;1;0;0;0;1
TRACTRA_S0648_A0756;S0648;50.1032755;-2.8780274;65.63;-19.88316505;-18.41350538;12.80469311;4.838040066;153;3.243768372;0;0;0;0;0;0;0;0;0
TRACTRA_S0648_A0757;S0648;50.1032755;-2.8780274;65.63;-17.38980316;-17.38980316;13.74375238;3.233544264;144;3.519962276;0;0;0;0;0;0;1;1;1
TRACTRA_S0648_A0758;S0648;50.1032755;-2.8780274;65.63;-18.19627608;-18.19627608;12.25189219;3.175007351;149;3.081179867;0;0;1;0;1;0;0;0;1
TRACTRA_S0648_A0759;S0648;50.1032755;-2.8780274;65.63;-20.22330338;-18.62749624;12.36124845;4.965461761;156;3.113343473;0;0;0;1;1;0;0;0;1
TRACTRA_S0648_A0760;S0648;50.1032755;-2.8780274;65.63;-18.55830703;-18.20627505;12.64148653;3.709123215;148;3.195766435;0;0;0;0;0;0;0;0;0
TRACTRA_S0648_A0761;S0648;50.1032755;-2.8780274;65.63;-18.58509829;-18.15123475;12.93673979;3.791781348;158;3.282605629;0;0;0;0;0;0;0;0;0
TRACTRA_S0648_A0762;S0648;50.1032755;-2.8780274;65.63;-19.22411937;-18.51036414;13.00526273;4.074500229;156;3.302759436;0;0;0;0;0;0;0;0;0
TRACTRA_S0648_A0763;S0648;50.1032755;-2.8780274;65.63;-20.13006074;-17.89104792;12.99518582;5.615164463;152;3.299795641;0;0;0;0;0;0;0;0;0
TRACTRA_S0648_A0764;S0648;50.1032755;-2.8780274;65.63;-17.69007187;-17.69007187;12.89139372;3.154829903;144;3.269268552;21;0;0;0;21;0;0;0;
